[Name]
Chart Line 1

[Data]
Curve Length on Polyline 1 [ m ],THICKNESS [ mm ]
2.46416807e-01, 5.01066923e-01
2.48759225e-01, 5.05449116e-01
2.51047313e-01, 5.36289036e-01
2.53217727e-01, 5.74090362e-01
2.55288690e-01, 6.11353517e-01
2.57258654e-01, 6.45907223e-01
2.59171516e-01, 6.80213690e-01
2.60997802e-01, 7.09341466e-01
2.62766838e-01, 7.41282284e-01
2.64474571e-01, 7.85965741e-01
2.66152084e-01, 8.17777514e-01
2.67773658e-01, 8.46788526e-01
2.69391775e-01, 8.76009107e-01
2.70948350e-01, 9.04540896e-01
2.72504300e-01, 9.36997652e-01
2.74003863e-01, 9.67303038e-01
2.75521815e-01, 9.96011198e-01
2.77000338e-01, 1.02657449e+00
2.78496951e-01, 1.05950570e+00
2.79965639e-01, 1.09176540e+00
2.81451076e-01, 1.13035297e+00
2.82931238e-01, 1.20404959e+00
2.84314513e-01, 1.34975278e+00
2.85696417e-01, 1.52401543e+00
2.86889195e-01, 1.76084840e+00
2.88025349e-01, 1.93992555e+00
2.88905680e-01, 2.06048656e+00
2.89739519e-01, 2.15785003e+00
2.91327715e-01, 2.33426452e+00
2.94404596e-01, 2.66262698e+00
2.97472537e-01, 2.68022656e+00


